Student_Number,P5_Criteria_1_Accuracy,P5_Criteria_2_Analysis,P5_Criteria_3_Organization,P5_Criteria_4_Clarity,P5_Criteria_5_Professionalism,P5_Total_Score,P5_Grade,P5_Hallucination,P5_Hallucination_Note,P5_Notes,Time_Spent_Assignment_5,Group,AI_Condition,P5_Productivity
c1f9916910cd4128,6.0,6.0,6.0,5.0,7.0,30.0,A-,,,,75.0,C,GPT 01,0.4
7316aefcd59a0b74,4.0,4.0,5.0,5.0,3.0,21.0,B,,,,29.0,A,Vincent,0.7241379310344828
1167a8417b14a001,5.0,5.0,6.0,5.0,6.0,27.0,B+,,,,47.0,A,Vincent,0.574468085106383
5eb1b92aee244e2a,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,112.0,A,Vincent,0.1875
065a189f3e847a38,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,98.0,A,Vincent,0.2142857142857142
865d47f31de717c9,4.0,5.0,4.0,5.0,4.0,22.0,B,,,,29.0,C,GPT 01,0.7586206896551724
1777a66aff697497,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,,150.0,C,GPT 01,0.1733333333333333
6ec4e59da50d8f3a,5.0,4.0,2.0,3.0,2.0,16.0,B-,,,,93.0,B,No AI,0.1720430107526881
4fdc1cc6f372410e,5.0,4.0,4.0,3.0,5.0,21.0,B,,,,113.0,A,Vincent,0.1858407079646017
ddbc5bb6018f9e0f,4.0,3.0,4.0,3.0,4.0,18.0,B,,,,74.0,C,GPT 01,0.2432432432432432
1bcba07e11b7af99,2.0,2.0,5.0,3.0,3.0,15.0,B-,1,Fabricated Case,,92.0,B,No AI,0.1630434782608695
4c56c0d8e61ed412,5.0,4.0,5.0,4.0,6.0,24.0,B+,,,,122.0,C,GPT 01,0.1967213114754098
3d53c1b0295b9a26,4.0,4.0,4.0,4.0,5.0,21.0,B,,,,40.0,A,Vincent,0.525
544af5e3f23bd87a,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,125.0,B,No AI,0.184
